ID	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	meanCounts
mmu.miR.154.3p_MIMAT0004537_Mus_musculus_miR.154.3p	2.85569771664519	1.58355273432771	4.12784269896267	0.507683972107123	4.67702099147323	0.00013858797443182	0.00179098305419582	1.14060691759853	3.42208694572846
mmu.miR.154.5p_MIMAT0000164_Mus_musculus_miR.154.5p	0.868903209944912	0.164311970195434	1.57349444969439	4.16095635659254	2.56937714383102	0.018132770521916	0.100427652121381	-3.82995431956121	35.75876233618
mmu.miR.155.5p_MIMAT0000165_Mus_musculus_miR.155.5p	0.275821896193564	-0.383587374322746	0.935231166709875	7.03354629173634	0.87149998786308	0.393634394255669	0.650464703950351	-6.54090374634157	255.484247546917
mmu.miR.15a.3p_MIMAT0004624_Mus_musculus_miR.15a.3p	0.257425065216926	-0.892871498123491	1.40772162855734	1.72305191342147	0.466267025648015	0.645970702710784	0.826865948543824	-6.15162149104824	6.48679487626156
mmu.miR.15a.5p_MIMAT0000526_Mus_musculus_miR.15a.5p	-0.244769880057095	-0.960842677637565	0.471302917523374	4.97937483977193	-0.712187740058916	0.484424358686874	0.705568795569423	-6.54633739009326	60.510999655209
mmu.miR.15b.3p_MIMAT0004521_Mus_musculus_miR.15b.3p	-0.037218545084599	-0.493381195589241	0.418944105420043	6.50226215059513	-0.169993909856595	0.866691465055212	0.949592387799623	-6.89794059472815	168.306645099397
mmu.miR.15b.5p_MIMAT0000124_Mus_musculus_miR.15b.5p	-0.473635246087332	-1.06402946371139	0.116758971536728	8.53760921750916	-1.67145855425728	0.109919826894409	0.33203283873672	-5.59067556154346	711.3454468291
mmu.miR.16.1.3p_MIMAT0004625_Mus_musculus_miR.16.1.3p	0.204761068900589	-0.528189833826029	0.937711971627206	4.46995569909603	0.582057913366865	0.566912897598574	0.77222729835049	-6.58762752454275	43.1621859944882
mmu.miR.16.2.3p_MIMAT0017018_Mus_musculus_miR.16.2.3p	0.0378129364571187	-0.960297595438574	1.03592346835281	2.26452803785069	0.0789324277590158	0.937856429146203	0.982636383287598	-6.39520024147458	9.97207834486714
mmu.miR.16.5p_MIMAT0000527_Mus_musculus_miR.16.5p	-0.251279505156171	-0.812244705283375	0.309685694971033	10.9176174995077	-0.933286195140947	0.361600864235076	0.624132998542735	-6.58898904794405	3727.01632449783
mmu.miR.17.3p_MIMAT0000650_Mus_musculus_miR.17.3p	-0.211449445680587	-0.86412713593769	0.441228244576516	4.0497165061783	-0.674996431951172	0.507265986406582	0.723919876739899	-6.45825859567602	31.4133617019641
mmu.miR.17.5p_MIMAT0000649_Mus_musculus_miR.17.5p	-0.717058827566635	-1.51088918205809	0.0767715269248189	9.02529314140364	-1.88200502802096	0.0741979945085877	0.267112780230916	-5.26685062750673	1031.32140213773
mmu.miR.181a.1.3p_MIMAT0000660_Mus_musculus_miR.181a.1.3p	-0.164588920262179	-0.637332341608514	0.308154501084157	6.29360737936896	-0.725385376887552	0.47646496974437	0.705568795569423	-6.63844090215393	146.482506268517
mmu.miR.181a.2.3p_MIMAT0005443_Mus_musculus_miR.181a.2.3p	-0.551775647320995	-1.12302830974497	0.0194770151029805	6.24838816952829	-2.01246337741315	0.057577200979961	0.223222379183849	-4.98005071534641	145.154277563466
mmu.miR.181a.5p_MIMAT0000210_Mus_musculus_miR.181a.5p	-0.804877566265752	-1.25715657976059	-0.352598552770909	13.7409815014125	-3.70780666437924	0.00135721508169352	0.0117937310547161	-1.65942451657941	26131.0944065078
mmu.miR.181b.1.3p_MIMAT0017067_Mus_musculus_miR.181b.1.3p	-0.548056358315854	-2.13057506215897	1.03446234552726	1.19259292831067	-0.721556034430744	0.478766455658607	0.705568795569423	-5.79191633047788	4.48496054903702
mmu.miR.181b.5p_MIMAT0000673_Mus_musculus_miR.181b.5p	-0.516474560890114	-0.893873586025124	-0.139075535755103	11.60731629674	-2.85129304812034	0.00974905285518199	0.0599210077928259	-3.49933791390203	5821.68847263692
mmu.miR.181c.3p_MIMAT0017068_Mus_musculus_miR.181c.3p	-0.542696956460427	-1.08087789962898	-0.00451601329186924	4.21632498091258	-2.10098409480395	0.0482784133581252	0.197823742540611	-4.64012581117546	34.6606160642365
mmu.miR.181c.5p_MIMAT0000674_Mus_musculus_miR.181c.5p	-0.537628508728825	-1.09880973544756	0.0235527179899131	5.37203610989327	-1.99605659088203	0.0594669813002558	0.225348560716759	-4.96612812647888	78.4363011038024
mmu.miR.181d.5p_MIMAT0004324_Mus_musculus_miR.181d.5p	-0.645198274242006	-1.07641359050504	-0.213982957978974	8.57947266812848	-3.11740130678684	0.00534198647507656	0.0349657296550465	-2.82825851482707	718.614152696397
mmu.miR.182.5p_MIMAT0000211_Mus_musculus_miR.182.5p	0.277973628587964	-0.303154259763393	0.859101516939321	6.58621069386894	0.99661076203553	0.330642595031065	0.584838860965422	-6.41681290998976	181.264769366199
mmu.miR.183.5p_MIMAT0000212_Mus_musculus_miR.183.5p	0.279392261697442	-0.280192396689527	0.838976920084411	4.72182586923683	1.04026088331313	0.310405904216562	0.567209430515403	-6.26669025510606	49.3197783317627
mmu.miR.1839.3p_MIMAT0009457_Mus_musculus_miR.1839.3p	0.0233139892587984	-0.940225548377313	0.986853526894909	4.53097964569207	0.0504127914836421	0.960284375449613	0.987721071891031	-6.79162307349915	46.3682124600648
mmu.miR.1839.5p_MIMAT0009456_Mus_musculus_miR.1839.5p	-0.203885852374816	-0.590692984822953	0.182921280073321	8.24773457771103	-1.09821232076674	0.284920270882705	0.554439446042021	-6.33842940940229	561.394717958887
mmu.miR.184.3p_MIMAT0000213_Mus_musculus_miR.184.3p	0.000751350036621634	-1.0319686579879	1.03347135806115	3.07116594527417	0.00151584018087953	0.998805278074985	0.998805278074985	-6.54535286729458	16.7621584850772
mmu.miR.1843a.3p_MIMAT0014806_Mus_musculus_miR.1843a.3p	-0.229429318597326	-0.93963554045216	0.480776903257508	4.84733213591359	-0.673066750165352	0.508467532472072	0.723919876739899	-6.55505936828196	55.818832820715
